COUNTY
Morobo
Kajo-Keji
Lainya
Yei
Juba
Terekeka
Magwi
Ikotos
Kapoeta South
Budi
Torit
Kapoeta North
Lafon
Kapoeta East
Awerial
Yirol West
Wulu
Rumbek East
Cueibet
Rumbek North
Rumbek Centre
Yirol East
Aweil South
Aweil Centre
Aweil West
Aweil North
Aweil East
Panyijiar
Mayendit
Leer
Koch
Mayom
Guit
Rubkona
Abiemnhom
Pariang
Abyei
Tonj South
Tonj East
Tonj North
Gogrial East
Gogrial West
Twic
Wau
Jur River
Raga
Maridi
Mundri West
Mundri East
Ibba
Yambio
Nzara
Mvolo
Ezo
Tambura
Nagero
Bor South
Pibor
Twic East
Pochalla
Duk
Uror
Akobo
Ayod
Nyirol
Canal
Fangak
Ulang
Maiwut
Luakpiny/Nasir
Longochuk
Panyikang
Malakal
Baliet
Fashoda
Melut
Manyo
Renk
Maban
